reviewer_id,review,summarize,aspect,token_sentence,token_lemma,rating
45,Such a beautiful dress I love this dress it is not too short itâs a perfect summer length . Sheer but not see thru. Itâs very flattering beautiful color and fabric. Amazing for it quality and price point, Such a beautiful dress I love this dress it is not too short its a perfect summer length . Sheer but not see thru. Its very flattering beautiful color and fabric . Amazing for it quality and price point .,"perfect summer, beautiful color, price point, dress beautiful, summer length, beautiful dress","Such a beautiful dress I love this dress it is not too short its a perfect summer length ..
Its very flattering beautiful color and fabric..
Amazing for it quality and price point","such a beautiful dress i love this dress it be not too short its a perfect summer length ..
its very flattering beautiful color and fabric ..
amaze for it quality and price point",5
46,"Great Fit Dress is as photo shows, on the thinner side for the material but not sheer at all. Smooth and true to size.", Great Fit Dress is on the thinner side for the material but not sheer at all . Smooth and true to size .,"fit dress, photo show, thinner side","Great Fit Dress is as photo shows.
on the thinner side for the material but not sheer at all.","great fit dress be as photo show.
on the thinner side for the material but not sheer at all .",5
47,"Amazing dress but runs large Itâs so amazing!! It fits very nice, and the pockets!!! Iâm a little on the chunky size and it makes me look so good. You donât even need a bra with it. I measured at an xxl for size but a large fits perfect"," Amazing dress but runs large . It fits very nice, and the pockets!!! Im a little on the chunky size and it makes me look so good . You dont even need a bra with it .","chunky size, bra, amazing dress","Amazing dress.
Im a little on the chunky size and it makes me look so good..
You dont even need a bra with it.","amazing dress.
im a little on the chunky size and it make me look so good ..
you dont even need a bra with it .",5
48,Super cute pants I rarely write reviews but had to comment on these pants. these pilcro pants are my favorite for the fall and winter. they fit beautifully and are a great alternative to jeans. the pants are so comfortable and flattering. love the print and they are so versatile as they can be worn as very casual pants and can be dressed up. i am in my 60's and am always looking for clothes that are stylish without being too young looking for a woman my age. retailer is my favorite store!, These pilcro pants are my favorite for the fall and winter . They fit beautifully and are a great alternative to jeans . The pants are so comfortable and flattering .,"great alternative, pant super cute, review, pilcro pant, favorite store, casual pant, pant, print, retailer, young look, cute pant","Super cute pants I rarely write reviews.
these pilcro pants are my favorite for the fall and winter..
they fit beautifully and are a great alternative to jeans..
the pants are so comfortable and flattering..
love the print and they are so versatile as they can be worn as very casual pants and can be dressed up..
i am in my 60's and am always looking for clothes that are stylish without being too young looking for a woman my age..
retailer is my favorite store!","super cute pant i rarely write review.
these pilcro pant be my favorite for the fall and winter ..
they fit beautifully and be a great alternative to jean ..
the pant be so comfortable and flattering ..
love the print and they be so versatile as they can be wear as very casual pant and can be dress up ..
i be in my 60 's and be always look for clothes that be stylish without be too young look for a woman my age ..
retailer be my favorite store !",5
49,Ummmm no Maybe if you are tiny!!!  I felt like a huge garbage bag!!!  Not flattering at all.  Too big as well.," Ummmm no Maybe if you are tiny!!!  I felt like a huge garbage bag!!!  Not flattering at all. Not flattering as well as too big as well. Ummmmno . Maybe if she is tiny, maybe if she's tiny!","garbage bag, huge garbage",I felt like a huge garbage bag!!!,i felt like a huge garbage bag ! ! !,1
50,Pretty Great color. It isnât a loose as I thought but I really like it. Super comfortable., It isnt a loose as I thought but I really like it. Super comfortable. Pretty Great color. It's not loose as well as thought but it is super comfortable .,great color,Pretty Great color.,pretty great color .,5
51,Buttons The buttons are not sewn on good at all. They fell out after wearing a few times., The buttons are not sewn on good at all. They fell out after wearing a few times . The buttons fell out of the buttons after wearing them .,"few time, ton, button","Buttons The.
tons are not sewn on good at all..
They fell out after wearing a few times.","button the.
ton be not sew on good at all ..
they fell out after wear a few time .",3
52,Love the print & style I tried this on the other day at the local store in a size xs/s. although it's wool i didn't notice that is was itchy & usually wool bothers me. i am of small build but i did like the long & oversized look. i admit i am drawn to the print anyways. i noticed the right armhole was larger than the left so i tried on another xs/s - it was the same. probably the armholes will be smaller in the petite sizes. i decided to make other purchases but will order the petite xs/s in a few wks since the invent, Love the print  style I tried this on the other day at the local store in a size xs/s. although it is wool i did not notice that is was itchy  usually wool bothers me .,"local store, print style, petite xs, size xs, right armhole, other day, other purchase, petite size, small build, armhole, few wks, wool itchy, oversized look","Love the print  style I tried this on the other day at the local store in a size xs/s..
although it is wool i did not notice that is was itchy  usually wool bothers me..
i am of small build.
i did like the long  oversized look..
i noticed the right armhole was larger than the left so i tried on another xs/s - it was the same..
probably the armholes will be smaller in the petite sizes..
i decided to make other purchases.
will order the petite xs/s in a few wks since the invent","love the print style i try this on the other day at the local store in a size xs/s ..
although it be wool i do not notice that be be itchy usually wool bother me ..
i be of small build.
i do like the long oversized look ..
i notice the right armhole be large than the left so i try on another xs/s - it be the same ..
probably the armhole will be small in the petite size ..
i decide to make other purchase.
will order the petite xs/s in a few wks since the invent",5
53,The perfect purple piece I got the dark purple color of this top and it is perfect! i wear it all the time. it's comfortable and it's cute! plus if it gets cold i can throw a warm sweater on top of it., The perfect purple piece I got the dark purple color of this top and it is perfect! i wear it all the time. It is comfortable and it's cute! plus if it gets cold i can throw a warm sweater on top of it .,"purple color, piece perfect, warm sweater, purple piece","The perfect purple piece I got the dark purple color of this top and it is perfect!.
plus if it gets cold i can throw a warm sweater on top of it.","the perfect purple piece i get the dark purple color of this top and it be perfect !.
plus if it get cold i can throw a warm sweater on top of it .",5
54,"$15 max if I bought it at WalMart - poor quality Cheap quality, overpriced, don't expect to get more than 3 washes on delicate cycle out of this."," Cheap quality, overpriced, do not expect to get more than 3 washes on delicate cycle out of this . 15 max if I bought it at WalMart - poor quality .","max, cheap quality, delicate cycle, poor quality, wash","15 max if I bought it at WalMart - poor quality Cheap quality.
do not expect to get more than 3 washes on delicate cycle out of this.","15 max if i buy it at walmart - poor quality cheap quality.
do not expect to get more than 3 wash on delicate cycle out of this .",2
55,Casual comfortable dress Bought this dress to wear when it was warm instead of capris or shorts, Bought this dress to wear when it was warm instead of capris or shorts . Dressed to wear for warm weather .,"comfortable dress, dress comfortable",Casual comfortable dress Bought this dress to wear when it was warm instead of capris or shorts,casual comfortable dress buy this dress to wear when it be warm instead of capri or short,5
56,"An almost for me... I didn't end up keeping this dress...it just wasn't right for me. it is very cute and fit well but the fabric was very thin (partially lined which is a plus) and the hem line coming up on the sides made it just too short for me. i ordered the petite xs and liked the length in front and back well but the side slit/vent was just too high for my liking. the tie part hit at the perfect spot for me at only 5'4"" (~118#). i guess i just didn't ""love"" it and would rather save my funds for something i ca"," An almost for me... I did not end up keeping this dress...it just was not right for me . The tie part hit at the perfect spot for me at only 5'4"" 118# . The fabric was very thin partially lined which is a plus .","tie part, petite x, side slit, dress, fund, vent, hem line, perfect spot, fabric, side","I did not end up keeping this dress...it just was not right for me..
the fabric was very thin partially lined which is a plus and the hem line coming up on the sides made it just too short for me..
i ordered the petite xs and liked the length in front and back well.
the side slit/vent was just too high for my liking..
the tie part hit at the perfect spot for me at only 5'4"" 118#..
i guess i just did not ""love"" it and would rather save my funds for something i ca","i do not end up keep this dress ... it just be not right for me ..
the fabric be very thin partially line which be a plus and the hem line come up on the side make it just too short for me ..
i order the petite x and like the length in front and back well.
the side slit/vent be just too high for my liking ..
the tie part hit at the perfect spot for me at only 5 ' 4 '' 118 # ..
i guess i just do not `` love '' it and would rather save my fund for something i ca",3
57,Rough and uncomfortable Feels cheap and like sandpaper. I wouldnât waste my money on this. Will be returning., Rough and uncomfortable Feels cheap and like sandpaper. I wouldnt waste my money on this . Will be returning .,"money, uncomfortable feel","Rough and uncomfortable Feels cheap and like sandpaper..
I wouldnt waste my money on this.","rough and uncomfortable feel cheap and like sandpaper ..
i wouldnt waste my money on this .",2
58,It's a t shirt. It's a t shirt, It's a t shirt. It's not a shirt . It's just a shirt. A t shirt . A shirt. The shirt.,t shirt,"It is a t shirt..
It is a t shirt","it be a t shirt ..
it be a t shirt",5
59,"Cheaply Made / Unconfortable The side zipper comes all the way up into your armpit, I am large chested so I ordered an xxl - it was very baggy in the chest & the thin material seemed to hug in the wrong places. Also the pockets, because the dress is so thin the pockets kind of bowed out so it gave you extra love handles. The material also snagged - but it was single threads that pulled - for being one thread it still was very noticeable - there are better dresses pass on this"," The side zipper comes all the way up into your armpit, I am large chested so I ordered an xxl - it was very baggy in the chest . The material also snagged - but it was single threads that pulled - for being one thread it still was very noticeable .","zipper cheaply, single thread, dress, thin material, xxl, good dress, dress pass, side zipper, wrong place, pocket kind, love handle, extra love","Cheaply Made / Unconfortable The side zipper comes all the way up into your armpit.
I am large chested so I ordered an xxl - it was very baggy in the chest  the thin material seemed to hug in the wrong places..
because the dress is so thin the pockets kind of bowed out so it gave you extra love handles..
it was single threads that pulled - for being one thread it still was very noticeable - there are better dresses pass on this","cheaply made / unconfortable the side zipper come all the way up into your armpit.
i be large chested so i order an xxl - it be very baggy in the chest the thin material seem to hug in the wrong place ..
because the dress be so thin the pocket kind of bow out so it give you extra love handle ..
it be single thread that pull - for be one thread it still be very noticeable - there be good dress pass on this",1
60,So cute!!! Doctors appt, So cute!!! Doctors appt. So cute! Check out the cute video below . Check it out! Check it below for more videos .,doctor appt,Doctors appt,doctor appt,5
61,Large The jacket itself is very good quality it's super large. I'm returning it and sizing down 1 or 2 sizes., The jacket itself is very good quality it is super large . I am returning it and sizing down 1 or 2 sizes .,good quality,Large The jacket itself is very good quality it is super large.,large the jacket itself be very good quality it be super large .,4
62,Arrived Stained! I purchased the red one and love it. The white arrived with several stains all over the front., Arrived Stained! I purchased the red one and love it . The white arrived with several stains all over the front .,several stain,The white arrived with several stains all over the front.,the white arrive with several stain all over the front .,3
63,"Fabric is beautiful. Well made and flattering. This dress is not sheer at all so nothing required underneath. It does have some stretch as it is the nature of the fabric. However, stretching it to fit would not be flattering. Buy your true size. You wonât be disappointed. Itâs well made for the price. Was pleasantly surprised.", This dress is not sheer at all so nothing required underneath . It does have some stretch as it is the nature of the fabric . But stretching it to fit would not be flattering .,"required underneath, true size, fabric, stretch, dress","Fabric is beautiful..
This dress is not sheer at all so nothing required underneath..
It does have some stretch as it is the nature of the fabric..
stretching it to fit would not be flattering..
Buy your true size.","fabric be beautiful ..
this dress be not sheer at all so nothing required underneath ..
it do have some stretch as it be the nature of the fabric ..
stretch it to fit would not be flatter ..
buy your true size .",5
64,"Awesome top Saw this online and had to try it on when i found it in the store. i usually wear an 8 or a 10 depending on how things run, (i'm a 34 dd), so i tried on both sizes. i really could not see much of a difference between the two and was torn as to which size to get. the 10 was just a tad looser so i went with that one, but seriously i could not find or feel much of a difference. it is a very figure flattering top, and a plus that you can machine wash it. simply awesome!"," Awesome top Saw this online and had to try it on when i found it in the store . i usually wear an 8 or a 10 depending on how things run, i am a 34dd, so i tried on both sizes. i really could not see much of a difference between the two sizes. The 10 was just a","awesome top, flatter top, machine, thing, size, tad looser, top awesome","Awesome top Saw this online and had to try it on when i found it in the store..
i usually wear an 8 or a 10 depending on how things run.
i really could not see much of a difference between the two and was torn as to which size to get..
the 10 was just a tad looser so i went with that one.
it is a very figure flattering top.
and a plus that you can machine wash it.","awesome top saw this online and have to try it on when i find it in the store ..
i usually wear an 8 or a 10 depend on how thing run.
i really could not see much of a difference between the two and be tear as to which size to get ..
the 10 be just a tad looser so i go with that one.
it be a very figure flatter top.
and a plus that you can machine wash it .",5
65,"Comfy fit, be careful when you wash them I love these pilcro pants. i had them in two colors, both beige and khaki. super comfy, and they stretch out a little around the waist with wearing. however, i recently ruined both sets in the wash because i used a stain-stick remover to try to get some grease spots out of them. the stain stick instead lifted the dye off of them! now i have two sets of pants with odd light splotches on them...so sad they aren't more color-fast :("," Comfy fit, be careful when you wash them I love these pilcro pants . I recently ruined both sets in the wash because i used a stain-stick remover to try to get some grease spots out of them .","stain stick, set, pilcro pant, comfy fit, stick remover, grease spot, dye, more color, odd light, light splotch","Comfy fit.
be careful when you wash them I love these pilcro pants..
i recently ruined both sets in the wash because i used a stain-stick remover to try to get some grease spots out of them..
the stain stick instead lifted the dye off of them!.
now i have two sets of pants with odd light splotches on them...so sad they are not more color-fast :","comfy fit.
be careful when you wash them i love these pilcro pant ..
i recently ruin both set in the wash because i use a stain-stick remover to try to get some grease spot out of them ..
the stain stick instead lift the dye off of them !.
now i have two set of pant with odd light splotch on them ... so sad they be not more color-fast :",5
66,Love it Very comfortable and flattering fit. My daughter that does not wear dresses loved it so much so has adopted it as her own and I will be buying another., Love it Very comfortable and flattering fit . My daughter that does not wear dresses loved it so much so has adopted it as her own .,"flattering fit, dress love","Love it Very comfortable and flattering fit..
My daughter that does not wear dresses loved it so much so has adopted it as her own and I will be buying another.","love it very comfortable and flattering fit ..
my daughter that do not wear dress love it so much so have adopt it as her own and i will be buy another .",5
67,it's not very well made it's a little too baggy in the waist area, it is not very well made. it is a little too baggy in the waist area . it is very baggy and not very good made .,waist area,it is not very well made it is a little too baggy in the waist area,it be not very well make it be a little too baggy in the waist area,3
68,"Not great quality These are fine, but they are not the durable quality I would have expected from Columbia. They are fine, but I anticipate them only lasting one or two seasons."," These are fine, but they are not the durable quality I would have expected from Columbia . I anticipate them only lasting one or two seasons. Not great quality .","great quality, durable quality","Not great quality These are fine.
but they are not the durable quality I would have expected from Columbia.","not great quality these be fine.
but they be not the durable quality i would have expect from columbia .",3
69,"Great crop pant So i love pilcro, i wear them all the time and usually size down because they ""grow"" after wearing them. i tried on my usual size in these and felt like they are too tight, not sure if they will get any looser. the material feels really good, lightweight and the stripes are subtle but cute. not sure if i'll keep them or maybe size up,"," So i love pilcro, i wear them all the time and usually size down because they ""grow"" after wearing them . i tried on my usual size in these and felt like they are too tight, not sure if they will get any looser .","looser, great crop, pant great, pilcro, crop pant, usual size, material, stripe","Great crop pant So i love pilcro.
i tried on my usual size in these and felt like they are too tight.
not sure if they will get any looser..
the material feels really good.
lightweight and the stripes are subtle but cute.","great crop pant so i love pilcro.
i try on my usual size in these and felt like they be too tight.
not sure if they will get any looser ..
the material feel really good.
lightweight and the stripe be subtle but cute .",4
70,"Love this dress and color! This is an adorable dress - I love the off the shoulder look. I originally ordered this in a medium, but sent it back and ordered the small, which fit better. The bust is very stretchy and the bottom is loose, so if you have a bigger bust you don't need to size up. Love the blue color and the material is nicer than I thought it would be. Can't wait to wear it at the beach. For reference my chest is 36.5 (34DD) and hips 36."," The bust is very stretchy and the bottom is loose, so if you have a bigger bust you do not need to size up . Love the blue color and the material is nicer than I thought it would be . Cannot wait to wear it at the beach .","bottom, chest, shoulder look, dress, blue color, adorable dress, bust, material, big bust","Love this dress and color!.
This is an adorable dress - I love the off the shoulder look..
The bust is very stretchy and the bottom is loose.
so if you have a bigger bust you do not need to size up..
Love the blue color and the material is nicer than I thought it would be..
For reference my chest is 36.5 34DD and hips 36.","love this dress and color !.
this be an adorable dress - i love the off the shoulder look ..
the bust be very stretchy and the bottom be loose.
so if you have a big bust you do not need to size up ..
love the blue color and the material be nice than i think it would be ..
for reference my chest be 36.5 34dd and hip 36 .",5
71,Stinky Terrible chemical smell. Sweater was rough and made out of something else than yarn, Stinky Terrible chemical smell. Sweater was rough and made out of something else than yarn . Sweat was rough .,"terrible chemical, sweater, chemical smell","Stinky Terrible chemical smell..
Sweater was rough and made out of something else than yarn","stinky terrible chemical smell ..
sweater be rough and make out of something else than yarn",2
72,Beautiful Dress True to Size! I am 5â6 and 185 lbs and a large which is my normal size I get fit me perfectly! It is very flattering and the length went right above my ankles, Beautiful dress True to Size! I am 56 and 185 lbs and a large which is my normal size I get fit me perfectly! It is very flattering and the length went right above my ankles .,"length flattering, normal size, beautiful dress","Beautiful Dress True to Size!.
I am 56 and 185 lbs and a large which is my normal size I get fit me perfectly!.
It is very flattering and the length went right above my ankles","beautiful dress true to size !.
i be 56 and 185 lb and a large which be my normal size i get fit me perfectly !.
it be very flattering and the length go right above my ankle",5
73,"Label falling off and pilling already After one wear The rubber label on the shorts started coming off, and itâs pilling between the thighs"," Rubber label on the shorts started coming off, and its pilling between the thighs . Label falling off and pilling already after one wear .","short start, label fall, rubber label",Label falling off and pilling already After one wear The rubber label on the shorts started coming off,label fall off and pilling already after one wear the rubber label on the short start come off,3
74,Flattering and comfy. Love the paisley print. Dress is flattering and versatile.  It can be worn casually in the day or for an evening out., Dress is flattering and versatile and can be worn casually in the day or for an evening out . Love the paisley print. Flattering and comfy.,"dress, paisley print","Love the paisley print..
Dress is flattering and versatile.","love the paisley print ..
dress be flatter and versatile .",5
75,Extremely flattering Love this dress! It is super flattering on., Love this dress! It is super flattering on. Extremely flattering on . Extremely flat on. It is a super flattering dress .,flatter love,Extremely flattering Love this dress!,extremely flatter love this dress !,5
76,Weak stitching The stitching is coming undone. The zipper failedâ¦, The stitching is coming undone on the zipper . The zipper failed . The stitching was coming undone. The stitching came undone .,"stitching weak, zipper","Weak stitching The stitching is coming undone..
The zipper failed","weak stitch the stitching be come undone ..
the zipper fail",3
77,"runs small runs way smaller than expected, size up at least 2 sizes"," runs small runs way smaller than expected, size up at least 2 sizes . Runs small runs run small runs that size up to 2 sizes and size up a lot of them . Runs way smaller and way smaller sizes than expected .","size, run way","runs small runs way smaller than expected.
size up at least 2 sizes","run small run way small than expect.
size up at least 2 size",1
78,"See-through and bulky pockets I wanted to love the dress due to reviews. I'm a small or medium depending on item. I ordered a small. Dress was not flattering and somewhat big, I could see my undergarments and the pockets right through the dress, and pockets were bulky and unflattering as well.. I was going to try another color but I got it for $23 and now it's back to $36."," Dress was not flattering and somewhat big, I could see my undergarments and the pockets right through the dress . See-through and bulky pockets were bulky and unflattering as well .","pocket right, color, bulky pocket, dress, pocket","See-through and bulky pockets I wanted to love the dress due to reviews..
Dress was not flattering and somewhat big.
I could see my undergarments and the pockets right through the dress.
and pockets were bulky and unflattering as well...
I was going to try another color","see-through and bulky pocket i want to love the dress due to review ..
dress be not flatter and somewhat big.
i could see my undergarment and the pocket right through the dress.
and pocket be bulky and unflattering as well ...
i be go to try another color",2
79,Absolutely Stunning ð¤© So beautiful! I received many compliments as well. ð," So beautiful! I received many compliments as well. Absolutely Stunning  So beautiful. So beautiful!"" she said .",many compliment,I received many compliments as well.,i receive many compliment as well .,5
80,Comfortable Perfect for a party or casual dining, Comfortable Perfect for a party or casual dining . Comfortable and comfortable . Perfect for the party or a casual dining experience .,casual dining,Comfortable Perfect for a party or casual dining,comfortable perfect for a party or casual dining,4
81,The little black dress Prefect fit nice and got so many compliments," The little black dress Prefect fit nice and got so many compliments . The Prefect is a little girl from New York City, New Jersey .","dress prefect, prefect fit, many compliment, black dress",The little black dress Prefect fit nice and got so many compliments,the little black dress prefect fit nice and get so many compliment,5
82,"Great dress but not in green Beautiful dress. good quality. tts. i'm 5 feet 120 lbs. ordered my small petite. no issues. however, the green is very bright. the deal killer for me was when my hub said it looked like a starbucks barista's apron! it's going back. i marked yes if you plan on purchasing a black dress it's a yes.", Great dress but not in green . The green is very bright. The deal killer for me was when my hub said it looked like a starbucks barista's apron!,"deal killer, black dress, hub, good quality, order, great dress, starbucks barista, beautiful dress","Great dress.
not in green Beautiful dress..
good quality..
ordered my small petite..
the deal killer for me was when my hub said it looked like a starbucks barista's apron!.
i marked yes if you plan on purchasing a black dress it is a yes.","great dress.
not in green beautiful dress ..
good quality ..
order my small petite ..
the deal killer for me be when my hub say it look like a starbucks barista 's apron !.
i mark yes if you plan on purchase a black dress it be a yes .",3
83,"Blue stripe is pale! :( I bought this in the blue stripe and the color is not what is shown at all! the photo shows a bright, vibrant blue and white stripe top. i got a white and very light pastel blue stripe top. so disappointed because the top doesn't have that wow look as shown in the photo. however, it goes well with blue jeans even in the lighter shade of blue.

and, the fabric is nice and cool for hot summer days."," Blue stripe is pale! : I bought this in the blue stripe and the color is not what is shown at all! The photo shows a bright, vibrant blue and white stripe top .","white stripe, color, show, blue stripe, photo, fabric, stripe top, summer day, blue jean, hot summer, top disappointed, light shade","Blue stripe is pale!.
: I bought this in the blue stripe and the color is not what is shown at all!.
the photo shows a bright.
vibrant blue and white stripe top..
i got a white and very light pastel blue stripe top..
so disappointed because the top does not have that wow look as shown in the photo..
it goes well with blue jeans even in the lighter shade of blue..
the fabric is nice and cool for hot summer days.","blue stripe be pale !.
: i buy this in the blue stripe and the color be not what be show at all !.
the photo show a bright.
vibrant blue and white stripe top ..
i get a white and very light pastel blue stripe top ..
so disappointed because the top do not have that wow look as show in the photo ..
it go well with blue jean even in the light shade of blue ..
the fabric be nice and cool for hot summer day .",4
84,"REALLY heavy The size was fine, but the material was SO heavy!  As soon as I took it out of the bag, I was thrown by the weight.  Then when I put it on, with the wrap, the weight all fell to the bottom of my body.  It wrapped correctly, but because I am small-chested, this dress looked and felt way too bottom heavy.  I did not like the material at all."," The size was fine, but the material was SO heavy! As soon as I took it out of the bag, I was thrown by the weight . Then when I put it on, with the wrap, the weight all fell to the bottom of my body . I did not like the material at all .","size, dress look, material, weight","REALLY heavy The size was fine.
but the material was SO heavy!.
the weight all fell to the bottom of my body..
this dress looked and felt way too bottom heavy.","really heavy the size be fine.
but the material be so heavy !.
the weight all fell to the bottom of my body ..
this dress look and felt way too bottom heavy .",1
85,Design too fluorescent I loved the lavender color on the cape. it was soft and comfortable. but the design on the front ruined it for me. it took me all of 1 minute to know it was going back. i clicked i would recommend to others as it is nicely made and i guess just not my taste as far as the colors an, Design too fluorescent I loved the lavender color on the cape . It took me all of 1 minute to know it was going back .,"design, front ruin, lavender color","Design too fluorescent I loved the lavender color on the cape..
the design on the front ruined it for me.","design too fluorescent i love the lavender color on the cape ..
the design on the front ruin it for me .",3
86,Unacceptable This is how I came home and found my order ð¡ð¡, Unacceptable This is how I came home and found my order . Unacceptable this is how she came home from work and found her order .,order,Unacceptable This is how I came home and found my order,unacceptable this be how i come home and find my order,1
87,Excellent Play golf, Play golf golf for the first time in golf's history . Excellent Play golf. Excellent Play Golf. Excellent Golf.com golf.com .,"excellent play, play golf",Excellent Play golf,excellent play golf,5
88,"Very pretty This is a very pretty skirt and the colors are better in real life. sizing was mostly true to size for me, slightly tight in the waist but i have a thicker waist compared to my hips. i'm 5'7 and 138# and ordered a size 4 (i usually size up to a 6 with retailer pencil skirts.) a 6 probably would have fit as well, especially in the waist but didn't want it too big in the hips. length was perfect, to my knees."," i am 5'7 and 138# and ordered a size 4 i usually size up to a 6 with retailer pencil skirts . sizing was mostly true to size for me, slightly tight in the waist but i have a thicker waist compared to my hips . length was perfect, to my knees .","color, pretty skirt, retailer pencil, pencil skirt, waist thicker, real life, thicker waist, length, size","Very pretty This is a very pretty skirt and the colors are better in real life..
slightly tight in the waist but i have a thicker waist compared to my hips..
i am 5'7 and 138# and ordered a size 4 i usually size up to a 6 with retailer pencil skirts..
length was perfect","very pretty this be a very pretty skirt and the color be well in real life ..
slightly tight in the waist but i have a thicker waist compare to my hip ..
i be 5 ' 7 and 138 # and order a size 4 i usually size up to a 6 with retailer pencil skirt ..
length be perfect",5
89,"Ig brought me here Love the way this top layers under my jackets and sweaters! so romantic and pretty. i am not experiencing the over pouf at the waist that a previous reviewer complained about. the fabric is slightly itchy and the top shipped to my house has misshapen shoulder bumps from the store hanger. all the beautiful styling pics done by retailer employees on ig is what made me want this blouse. whatever is going on with the model shot really really really does not represent how cute this top looks. in fact,", i am not experiencing the over pouf at the waist that a previous reviewer complained about . The fabric is slightly itchy and the top shipped to my house has misshapen shoulder bumps from the store hanger .,"blouse, top layer, top look, store hanger, beautiful styling, retailer employee, misshapen shoulder, styling pic, pic beautiful, model shot, fabric, house, way, previous reviewer, shoulder bump","Ig brought me here Love the way this top layers under my jackets and sweaters!.
i am not experiencing the over pouf at the waist that a previous reviewer complained about..
the fabric is slightly itchy and the top shipped to my house has misshapen shoulder bumps from the store hanger..
all the beautiful styling pics done by retailer employees on ig is what made me want this blouse..
whatever is going on with the model shot really really really does not represent how cute this top looks.","ig bring me here love the way this top layer under my jacket and sweater !.
i be not experience the over pouf at the waist that a previous reviewer complain about ..
the fabric be slightly itchy and the top shipped to my house have misshapen shoulder bump from the store hanger ..
all the beautiful styling pic do by retailer employee on ig be what make me want this blouse ..
whatever be go on with the model shot really really really do not represent how cute this top look .",4
90,"White Sweater Was having trouble finding a white sweater. This Nautica sweater was perfect. Perfect color and weight, combo cotton and polyester."," This Nautica sweater was perfect. Perfect color and weight, combo cotton and polyester . White Sweater was perfect .","white sweater, nautica sweater, combo cotton, perfect color, sweater wa, trouble","White Sweater Was having trouble finding a white sweater..
This Nautica sweater was perfect..
Perfect color and weight.
combo cotton and polyester.","white sweater wa have trouble find a white sweater ..
this nautica sweater be perfect ..
perfect color and weight.
combo cotton and polyester .",5
91,"Itâs nice Yeah this is a nice dress and itâs flattering, but you literally have to pull it down every 5 seconds and the extra fabric does bunch up when it rides up, which makes it look like a maternity dress and looks quite stupid when youâre not pregnant. Itâs also longer than the picture and measurements. Iâm almost 5â7 and it goes passed my knees, which I donât really like. Will probably wear it a few times but that did disappoint me."," The extra fabric does bunch up when it rides up, which makes it look like a maternity dress and looks quite stupid when youre not pregnant . Im almost 57 and it goes passed my knees, which I dont really like . Will probably wear it a few times but that did disappoint me .","bunch, few time, knee, extra fabric, maternity dress, nice dress","Its nice Yeah this is a nice dress and its flattering.
but you literally have to pull it down every 5 seconds and the extra fabric does bunch up when it rides up.
which makes it look like a maternity dress and looks quite stupid when youre not pregnant..
Im almost 57 and it goes passed my knees.
Will probably wear it a few times","its nice yeah this be a nice dress and its flattering.
but you literally have to pull it down every 5 second and the extra fabric do bunch up when it rid up.
which make it look like a maternity dress and look quite stupid when youre not pregnant ..
im almost 57 and it go pass my knee.
will probably wear it a few time",4
92,Great price and fit Just what I expected, Great price and fit Just what I expected. Great price . Great size and fit . Just what you expected . Great weight and size . Great fit and great price .,great price,Great price and fit Just what I expected,great price and fit just what i expect,5
93,"Perfect! This top is great - lightweight and flattering.
i can wear it to work with skinny white pants or to the grocery store with jeans. 
i purchased another color because i love the first i got so much.", This top is great - lightweight and flattering . Can wear it to work with skinny white pants or to the grocery store with jeans .,"grocery store, white pant, top, color","This top is great - lightweight and flattering..
i can wear it to work with skinny white pants or to the grocery store with jeans..
i purchased another color because i love the first i got so much.","this top be great - lightweight and flattering ..
i can wear it to work with skinny white pant or to the grocery store with jean ..
i purchase another color because i love the first i get so much .",5
94,Material is wonderful! Love this dress!! Fits true to size washes nicely very flattering!, Material is wonderful! Love this dress!! Fits true to size washes nicely very flattering! Fitstrue to size . Fits True to size size . Washes nicely and washes well .,"dress, material, size wash","Material is wonderful!.
Love this dress!!.
Fits true to size washes nicely very flattering!","material be wonderful !.
love this dress ! !.
fit true to size wash nicely very flattering !",5
95,I expected a new dress but it says on the wrapper that this is its second life Mixed feelings - I expected a new dress and on the wrapper is a sticker thanking me for giving this product a second life. I would have been okay had that been obvious when I ordered. So I am not sure what I will do. Otherwise I like the dress., Mixed feelings - I expected a new dress and on the wrapper is a sticker thanking me for giving this product a second life . I would have been okay had that been obvious when I ordered . Otherwise I like the dress .,"wrapper, second life, product, sticker, new dress","I expected a new dress.
it says on the wrapper that this is its second life Mixed feelings - I expected a new dress and on the wrapper is a sticker thanking me for giving this product a second life.","i expect a new dress.
it say on the wrapper that this be its second life mixed feel - i expect a new dress and on the wrapper be a sticker thank me for give this product a second life .",3
96,"Lovely but not awesome This dress is a bit scratchy, but overall i liked the fabric well enough. on someone blond and fair, the peach color washes out a bit."," This dress is a bit scratchy, but overall i liked the fabric well enough . on someone blond and fair, the peach color washes out a bit .","color wash, dress, someone blond, peach color","Lovely but not awesome This dress is a bit scratchy.
on someone blond and fair.
the peach color washes out a bit.","lovely but not awesome this dress be a bit scratchy.
on someone blond and fair.
the peach color wash out a bit .",3
97,Great dress I absolutely love everything about this dress. it can be dressed up or down. no complaints., Great dress I absolutely love everything about this dress. it can be dressed up or down. no complaints. Great dress .,"dress great, great dress, everything",Great dress I absolutely love everything about this dress.,great dress i absolutely love everything about this dress .,5
